timestamp,crowd_count,frame_name,frame_index,is_synthetic,hour,minute,day_of_week,day_name,is_weekend,day_of_month,month,year,is_holiday
2025-10-27 06:59:15,65.97,,,1,6,59,0,Monday,0,27,10,2025,0
2025-10-27 07:14:15,92.45,,,1,7,14,0,Monday,0,27,10,2025,0
2025-10-27 07:29:15,94.2,,,1,7,29,0,Monday,0,27,10,2025,0
2025-10-27 07:44:15,94.93,,,1,7,44,0,Monday,0,27,10,2025,0
2025-10-27 07:59:15,95.22,,,1,7,59,0,Monday,0,27,10,2025,0
2025-10-27 08:14:15,86.15,,,1,8,14,0,Monday,0,27,10,2025,0
2025-10-27 08:29:15,88.39,,,1,8,29,0,Monday,0,27,10,2025,0
2025-10-27 08:44:15,91.54,,,1,8,44,0,Monday,0,27,10,2025,0
2025-10-27 08:59:15,91.25,,,1,8,59,0,Monday,0,27,10,2025,0
2025-10-27 09:14:15,93.54,,,1,9,14,0,Monday,0,27,10,2025,0
2025-10-27 09:29:15,88.37,,,1,9,29,0,Monday,0,27,10,2025,0
2025-10-27 09:44:15,88.89,,,1,9,44,0,Monday,0,27,10,2025,0
2025-10-27 09:59:15,93.95,,,1,9,59,0,Monday,0,27,10,2025,0
2025-10-27 10:14:15,89.57,,,1,10,14,0,Monday,0,27,10,2025,0
2025-10-27 10:29:15,92.6,,,1,10,29,0,Monday,0,27,10,2025,0
2025-10-27 10:44:15,94.96,,,1,10,44,0,Monday,0,27,10,2025,0
2025-10-27 10:59:15,91.37,,,1,10,59,0,Monday,0,27,10,2025,0
2025-10-27 11:14:15,65.93,,,1,11,14,0,Monday,0,27,10,2025,0
2025-10-27 11:29:15,57.3,,,1,11,29,0,Monday,0,27,10,2025,0
2025-10-27 11:44:15,60.77,,,1,11,44,0,Monday,0,27,10,2025,0
2025-10-27 11:59:15,57.83,,,1,11,59,0,Monday,0,27,10,2025,0
2025-10-27 12:14:15,53.81,,,1,12,14,0,Monday,0,27,10,2025,0
2025-10-27 12:29:15,53.45,,,1,12,29,0,Monday,0,27,10,2025,0
2025-10-27 12:44:15,53.45,,,1,12,44,0,Monday,0,27,10,2025,0
2025-10-27 12:59:15,53.45,,,1,12,59,0,Monday,0,27,10,2025,0
2025-10-27 13:14:15,53.45,,,1,13,14,0,Monday,0,27,10,2025,0
2025-10-27 13:29:15,53.45,,,1,13,29,0,Monday,0,27,10,2025,0
2025-10-27 13:44:15,55.58,,,1,13,44,0,Monday,0,27,10,2025,0
2025-10-27 13:59:15,53.45,,,1,13,59,0,Monday,0,27,10,2025,0
2025-10-27 14:14:15,62.63,,,1,14,14,0,Monday,0,27,10,2025,0
2025-10-27 14:29:15,64.79,,,1,14,29,0,Monday,0,27,10,2025,0
2025-10-27 14:44:15,59.79,,,1,14,44,0,Monday,0,27,10,2025,0
2025-10-27 14:59:15,63.98,,,1,14,59,0,Monday,0,27,10,2025,0
2025-10-27 15:14:15,57.32,,,1,15,14,0,Monday,0,27,10,2025,0
2025-10-27 15:29:15,62.73,,,1,15,29,0,Monday,0,27,10,2025,0
2025-10-27 15:44:15,57.47,,,1,15,44,0,Monday,0,27,10,2025,0
2025-10-27 15:59:15,63.83,,,1,15,59,0,Monday,0,27,10,2025,0
2025-10-27 16:14:15,61.4,,,1,16,14,0,Monday,0,27,10,2025,0
2025-10-27 16:29:15,59.01,,,1,16,29,0,Monday,0,27,10,2025,0
2025-10-27 16:44:15,64.63,,,1,16,44,0,Monday,0,27,10,2025,0
2025-10-27 16:59:15,61.05,,,1,16,59,0,Monday,0,27,10,2025,0
2025-10-27 17:14:15,79.8,,,1,17,14,0,Monday,0,27,10,2025,0
2025-10-27 17:29:15,79.62,,,1,17,29,0,Monday,0,27,10,2025,0
2025-10-27 17:44:15,78.17,,,1,17,44,0,Monday,0,27,10,2025,0
2025-10-27 17:59:15,82.75,,,1,17,59,0,Monday,0,27,10,2025,0
2025-10-27 18:14:15,78.73,,,1,18,14,0,Monday,0,27,10,2025,0
2025-10-27 18:29:15,81.5,,,1,18,29,0,Monday,0,27,10,2025,0
2025-10-27 18:44:15,86.84,,,1,18,44,0,Monday,0,27,10,2025,0
2025-10-27 18:59:15,79.27,,,1,18,59,0,Monday,0,27,10,2025,0
2025-10-27 19:14:15,83.51,,,1,19,14,0,Monday,0,27,10,2025,0
2025-10-27 19:29:15,77.11,,,1,19,29,0,Monday,0,27,10,2025,0
2025-10-27 19:44:15,80.49,,,1,19,44,0,Monday,0,27,10,2025,0
2025-10-27 19:59:15,71.17,,,1,19,59,0,Monday,0,27,10,2025,0
2025-10-27 20:14:15,78.39,,,1,20,14,0,Monday,0,27,10,2025,0
2025-10-27 20:29:15,81.46,,,1,20,29,0,Monday,0,27,10,2025,0
2025-10-27 20:44:15,77.38,,,1,20,44,0,Monday,0,27,10,2025,0
2025-10-27 20:59:15,80.8,,,1,20,59,0,Monday,0,27,10,2025,0
2025-10-27 21:14:15,63.64,,,1,21,14,0,Monday,0,27,10,2025,0
2025-10-27 21:29:15,63.03,,,1,21,29,0,Monday,0,27,10,2025,0
2025-10-27 21:44:15,61.24,,,1,21,44,0,Monday,0,27,10,2025,0
2025-10-27 21:59:15,57.01,,,1,21,59,0,Monday,0,27,10,2025,0
2025-10-27 22:14:15,53.45,,,1,22,14,0,Monday,0,27,10,2025,0
2025-10-27 22:29:15,53.45,,,1,22,29,0,Monday,0,27,10,2025,0
2025-10-27 22:44:15,53.45,,,1,22,44,0,Monday,0,27,10,2025,0
2025-10-27 22:59:15,53.45,,,1,22,59,0,Monday,0,27,10,2025,0
2025-10-27 23:14:15,53.45,,,1,23,14,0,Monday,0,27,10,2025,0
2025-10-27 23:29:15,53.45,,,1,23,29,0,Monday,0,27,10,2025,0
2025-10-27 23:44:15,53.45,,,1,23,44,0,Monday,0,27,10,2025,0
2025-10-27 23:59:15,53.45,,,1,23,59,0,Monday,0,27,10,2025,0
2025-10-28 00:14:15,53.45,,,1,0,14,1,Tuesday,0,28,10,2025,0
2025-10-28 00:29:15,53.45,,,1,0,29,1,Tuesday,0,28,10,2025,0
2025-10-28 00:44:15,53.45,,,1,0,44,1,Tuesday,0,28,10,2025,0
2025-10-28 00:59:15,53.45,,,1,0,59,1,Tuesday,0,28,10,2025,0
2025-10-28 01:14:15,53.45,,,1,1,14,1,Tuesday,0,28,10,2025,0
2025-10-28 01:29:15,53.45,,,1,1,29,1,Tuesday,0,28,10,2025,0
2025-10-28 01:44:15,53.45,,,1,1,44,1,Tuesday,0,28,10,2025,0
2025-10-28 01:59:15,53.45,,,1,1,59,1,Tuesday,0,28,10,2025,0
2025-10-28 02:14:15,53.45,,,1,2,14,1,Tuesday,0,28,10,2025,0
2025-10-28 02:29:15,53.45,,,1,2,29,1,Tuesday,0,28,10,2025,0
2025-10-28 02:44:15,53.45,,,1,2,44,1,Tuesday,0,28,10,2025,0
2025-10-28 02:59:15,53.45,,,1,2,59,1,Tuesday,0,28,10,2025,0
2025-10-28 03:14:15,53.45,,,1,3,14,1,Tuesday,0,28,10,2025,0
2025-10-28 03:29:15,53.45,,,1,3,29,1,Tuesday,0,28,10,2025,0
2025-10-28 03:44:15,53.45,,,1,3,44,1,Tuesday,0,28,10,2025,0
2025-10-28 03:59:15,53.45,,,1,3,59,1,Tuesday,0,28,10,2025,0
2025-10-28 04:14:15,53.45,,,1,4,14,1,Tuesday,0,28,10,2025,0
2025-10-28 04:29:15,53.45,,,1,4,29,1,Tuesday,0,28,10,2025,0
2025-10-28 04:44:15,53.45,,,1,4,44,1,Tuesday,0,28,10,2025,0
2025-10-28 04:59:15,53.45,,,1,4,59,1,Tuesday,0,28,10,2025,0
2025-10-28 05:14:15,53.45,,,1,5,14,1,Tuesday,0,28,10,2025,0
2025-10-28 05:29:15,53.45,,,1,5,29,1,Tuesday,0,28,10,2025,0
2025-10-28 05:44:15,53.45,,,1,5,44,1,Tuesday,0,28,10,2025,0
2025-10-28 05:59:15,53.45,,,1,5,59,1,Tuesday,0,28,10,2025,0
2025-10-28 06:14:15,60.85,,,1,6,14,1,Tuesday,0,28,10,2025,0
2025-10-28 06:29:15,62.48,,,1,6,29,1,Tuesday,0,28,10,2025,0
2025-10-28 06:44:15,62.16,,,1,6,44,1,Tuesday,0,28,10,2025,0
2025-10-28 06:59:15,66.19,,,1,6,59,1,Tuesday,0,28,10,2025,0
2025-10-28 07:14:15,95.94,,,1,7,14,1,Tuesday,0,28,10,2025,0
2025-10-28 07:29:15,91.72,,,1,7,29,1,Tuesday,0,28,10,2025,0
2025-10-28 07:44:15,91.6,,,1,7,44,1,Tuesday,0,28,10,2025,0
2025-10-28 07:59:15,89.9,,,1,7,59,1,Tuesday,0,28,10,2025,0
2025-10-28 08:14:15,96.47,,,1,8,14,1,Tuesday,0,28,10,2025,0
2025-10-28 08:29:15,94.72,,,1,8,29,1,Tuesday,0,28,10,2025,0
2025-10-28 08:44:15,97.16,,,1,8,44,1,Tuesday,0,28,10,2025,0
2025-10-28 08:59:15,93.06,,,1,8,59,1,Tuesday,0,28,10,2025,0
2025-10-28 09:14:15,93.56,,,1,9,14,1,Tuesday,0,28,10,2025,0
2025-10-28 09:29:15,95.23,,,1,9,29,1,Tuesday,0,28,10,2025,0
2025-10-28 09:44:15,93.69,,,1,9,44,1,Tuesday,0,28,10,2025,0
2025-10-28 09:59:15,94.59,,,1,9,59,1,Tuesday,0,28,10,2025,0
2025-10-28 10:14:15,98.71,,,1,10,14,1,Tuesday,0,28,10,2025,0
2025-10-28 10:29:15,95.12,,,1,10,29,1,Tuesday,0,28,10,2025,0
2025-10-28 10:44:15,94.82,,,1,10,44,1,Tuesday,0,28,10,2025,0
2025-10-28 10:59:15,95.91,,,1,10,59,1,Tuesday,0,28,10,2025,0
2025-10-28 11:14:15,58.93,,,1,11,14,1,Tuesday,0,28,10,2025,0
2025-10-28 11:29:15,59.15,,,1,11,29,1,Tuesday,0,28,10,2025,0
2025-10-28 11:44:15,62.81,,,1,11,44,1,Tuesday,0,28,10,2025,0
2025-10-28 11:59:15,66.82,,,1,11,59,1,Tuesday,0,28,10,2025,0
2025-10-28 12:14:15,53.45,,,1,12,14,1,Tuesday,0,28,10,2025,0
2025-10-28 12:29:15,53.45,,,1,12,29,1,Tuesday,0,28,10,2025,0
2025-10-28 12:44:15,57.21,,,1,12,44,1,Tuesday,0,28,10,2025,0
2025-10-28 12:59:15,54.87,,,1,12,59,1,Tuesday,0,28,10,2025,0
2025-10-28 13:14:15,53.45,,,1,13,14,1,Tuesday,0,28,10,2025,0
2025-10-28 13:29:15,53.45,,,1,13,29,1,Tuesday,0,28,10,2025,0
2025-10-28 13:44:15,54.96,,,1,13,44,1,Tuesday,0,28,10,2025,0
2025-10-28 13:59:15,53.45,,,1,13,59,1,Tuesday,0,28,10,2025,0
2025-10-28 14:14:15,57.09,,,1,14,14,1,Tuesday,0,28,10,2025,0
2025-10-28 14:29:15,58.45,,,1,14,29,1,Tuesday,0,28,10,2025,0
2025-10-28 14:44:15,63.59,,,1,14,44,1,Tuesday,0,28,10,2025,0
2025-10-28 14:59:15,58.51,,,1,14,59,1,Tuesday,0,28,10,2025,0
2025-10-28 15:14:15,61.83,,,1,15,14,1,Tuesday,0,28,10,2025,0
2025-10-28 15:29:15,61.29,,,1,15,29,1,Tuesday,0,28,10,2025,0
2025-10-28 15:44:15,57.42,,,1,15,44,1,Tuesday,0,28,10,2025,0
2025-10-28 15:59:15,60.61,,,1,15,59,1,Tuesday,0,28,10,2025,0
2025-10-28 16:14:15,59.1,,,1,16,14,1,Tuesday,0,28,10,2025,0
2025-10-28 16:29:15,61.16,,,1,16,29,1,Tuesday,0,28,10,2025,0
2025-10-28 16:44:15,60.58,,,1,16,44,1,Tuesday,0,28,10,2025,0
2025-10-28 16:59:15,57.56,,,1,16,59,1,Tuesday,0,28,10,2025,0
2025-10-28 17:14:15,77.89,,,1,17,14,1,Tuesday,0,28,10,2025,0
2025-10-28 17:29:15,78.65,,,1,17,29,1,Tuesday,0,28,10,2025,0
2025-10-28 17:44:15,76.33,,,1,17,44,1,Tuesday,0,28,10,2025,0
2025-10-28 17:59:15,82.63,,,1,17,59,1,Tuesday,0,28,10,2025,0
2025-10-28 18:14:15,81.51,,,1,18,14,1,Tuesday,0,28,10,2025,0
2025-10-28 18:29:15,83.49,,,1,18,29,1,Tuesday,0,28,10,2025,0
2025-10-28 18:44:15,82.47,,,1,18,44,1,Tuesday,0,28,10,2025,0
2025-10-28 18:59:15,76.84,,,1,18,59,1,Tuesday,0,28,10,2025,0
2025-10-28 19:14:15,79.26,,,1,19,14,1,Tuesday,0,28,10,2025,0
2025-10-28 19:29:15,78.47,,,1,19,29,1,Tuesday,0,28,10,2025,0
2025-10-28 19:44:15,80.32,,,1,19,44,1,Tuesday,0,28,10,2025,0
2025-10-28 19:59:15,78.55,,,1,19,59,1,Tuesday,0,28,10,2025,0
2025-10-28 20:14:15,78.28,,,1,20,14,1,Tuesday,0,28,10,2025,0
2025-10-28 20:29:15,74.64,,,1,20,29,1,Tuesday,0,28,10,2025,0
2025-10-28 20:44:15,75.8,,,1,20,44,1,Tuesday,0,28,10,2025,0
2025-10-28 20:59:15,75.81,,,1,20,59,1,Tuesday,0,28,10,2025,0
2025-10-28 21:14:15,59.16,,,1,21,14,1,Tuesday,0,28,10,2025,0
2025-10-28 21:29:15,63.53,,,1,21,29,1,Tuesday,0,28,10,2025,0
